date,ticker,sector,entry_time,exit_time,entry,exit,stop,target,shares,cost,gross_pnl,commission,net_pnl,exit_reason,rsi_entry,vol_ratio,atr
2026-03-31,SOFI,Fintech,2026-03-31 16:35:00+00:00,2026-03-31 16:40:00+00:00,15.5799,15.8125,15.4636,15.8125,3,46.74,0.6977,0.03,0.6677,TARGET,53.6,3.41,0.0775
2026-03-31,SOFI,Fintech,2026-03-31 16:45:00+00:00,2026-03-31 19:55:00+00:00,15.745,15.895,15.5648,16.1054,3,47.23,0.45,0.03,0.42,EOD,61.9,1.82,0.1201
2026-04-01,SOFI,Fintech,2026-04-01 16:15:00+00:00,2026-04-01 17:15:00+00:00,15.945,15.858,15.858,16.1189,3,47.83,-0.2609,0.03,-0.2909,STOP,60.5,1.4,0.058
2026-04-02,SOFI,Fintech,2026-04-02 16:30:00+00:00,2026-04-02 19:55:00+00:00,15.685,15.855,15.5672,15.9206,3,47.06,0.51,0.03,0.48,EOD,57.0,1.36,0.0785
2026-04-06,SOFI,Fintech,2026-04-06 19:15:00+00:00,2026-04-06 19:55:00+00:00,16.23,16.25,16.1683,16.3534,3,48.69,0.06,0.03,0.03,EOD,59.6,1.26,0.0411
2026-04-07,SOFI,Fintech,2026-04-07 16:00:00+00:00,2026-04-07 18:25:00+00:00,16.225,16.0932,16.0932,16.4885,3,48.68,-0.3953,0.03,-0.4253,STOP,60.6,1.68,0.0878
2026-04-07,SOFI,Fintech,2026-04-07 19:15:00+00:00,2026-04-07 19:30:00+00:00,16.165,16.0758,16.0758,16.3435,3,48.5,-0.2677,0.03,-0.2977,STOP,57.8,2.19,0.0595
2026-04-07,SOFI,Fintech,2026-04-07 19:45:00+00:00,2026-04-07 19:55:00+00:00,16.125,16.12,16.0123,16.3503,3,48.38,-0.015,0.03,-0.045,EOD,52.9,2.26,0.0751
2026-04-09,SOFI,Fintech,2026-04-09 15:20:00+00:00,2026-04-09 16:00:00+00:00,16.145,16.3589,16.038,16.3589,3,48.44,0.6417,0.03,0.6117,TARGET,49.5,1.22,0.0713
2026-04-09,SOFI,Fintech,2026-04-09 19:45:00+00:00,2026-04-09 19:55:00+00:00,16.2499,16.25,16.1951,16.3596,3,48.75,0.0003,0.03,-0.0297,EOD,52.8,1.21,0.0366
2026-04-10,SOFI,Fintech,2026-04-10 19:10:00+00:00,2026-04-10 19:20:00+00:00,16.279,16.2264,16.2264,16.3842,3,48.84,-0.1578,0.03,-0.1878,STOP,65.5,2.38,0.0351
2026-04-13,SOFI,Fintech,2026-04-13 16:25:00+00:00,2026-04-13 18:00:00+00:00,16.675,16.8337,16.5957,16.8337,2,33.35,0.3174,0.02,0.2974,TARGET,65.1,1.25,0.0529
2026-04-13,SOFI,Fintech,2026-04-13 19:15:00+00:00,2026-04-13 19:50:00+00:00,16.91,17.0218,16.8541,17.0218,2,33.82,0.2237,0.02,0.2037,TARGET,74.6,1.42,0.0373
2026-04-14,SOFI,Fintech,2026-04-14 17:15:00+00:00,2026-04-14 17:55:00+00:00,17.905,17.8352,17.8352,18.0447,2,35.81,-0.1397,0.02,-0.1597,STOP,68.5,1.3,0.0466
2026-04-14,SOFI,Fintech,2026-04-14 19:00:00+00:00,2026-04-14 19:55:00+00:00,17.84,17.92,17.7676,17.9848,2,35.68,0.16,0.02,0.14,EOD,60.3,1.54,0.0483
2026-04-15,SOFI,Fintech,2026-04-15 16:00:00+00:00,2026-04-15 16:45:00+00:00,18.4802,18.3707,18.3707,18.6992,2,36.96,-0.219,0.02,-0.239,STOP,62.0,1.44,0.073
2026-04-15,SOFI,Fintech,2026-04-15 17:40:00+00:00,2026-04-15 18:10:00+00:00,18.5125,18.6888,18.4244,18.6888,2,37.03,0.3525,0.02,0.3325,TARGET,60.5,1.36,0.0588
2026-04-15,SOFI,Fintech,2026-04-15 18:20:00+00:00,2026-04-15 19:50:00+00:00,18.615,18.8196,18.5127,18.8196,2,37.23,0.4092,0.02,0.3892,TARGET,59.5,1.3,0.0682
2026-04-16,SOFI,Fintech,2026-04-16 15:35:00+00:00,2026-04-16 16:30:00+00:00,19.225,19.067,19.067,19.5411,2,38.45,-0.3161,0.02,-0.3361,STOP,63.2,1.84,0.1054
2026-04-16,SOFI,Fintech,2026-04-16 19:20:00+00:00,2026-04-16 19:50:00+00:00,19.135,19.0623,19.0623,19.2803,2,38.27,-0.1453,0.02,-0.1653,STOP,55.8,1.72,0.0484
2026-04-20,SOFI,Fintech,2026-04-20 15:25:00+00:00,2026-04-20 19:55:00+00:00,19.4,19.5,19.2486,19.7027,2,38.8,0.2,0.02,0.18,EOD,52.3,1.44,0.1009
2026-04-24,SOFI,Fintech,2026-04-24 15:20:00+00:00,2026-04-24 19:30:00+00:00,18.32,18.5564,18.2018,18.5564,2,36.64,0.4727,0.02,0.4527,TARGET,53.0,1.22,0.0788
2026-04-24,SOFI,Fintech,2026-04-24 19:40:00+00:00,2026-04-24 19:55:00+00:00,18.54,18.4641,18.4641,18.6919,2,37.08,-0.1519,0.02,-0.1719,STOP,66.3,2.15,0.0506
2026-04-27,SOFI,Fintech,2026-04-27 17:30:00+00:00,2026-04-27 17:45:00+00:00,18.84,18.7713,18.7713,18.9774,2,37.68,-0.1374,0.02,-0.1574,STOP,64.3,1.49,0.0458
2026-04-27,SOFI,Fintech,2026-04-27 18:40:00+00:00,2026-04-27 19:50:00+00:00,18.815,18.7541,18.7541,18.9368,2,37.63,-0.1218,0.02,-0.1418,STOP,59.9,1.48,0.0406
2026-04-28,SOFI,Fintech,2026-04-28 15:50:00+00:00,2026-04-28 18:45:00+00:00,18.595,18.715,18.4654,18.8542,2,37.19,0.24,0.02,0.22,EOD,54.3,1.35,0.0864
2026-03-31,RIVN,EV,2026-03-31 16:40:00+00:00,2026-03-31 16:45:00+00:00,15.025,14.8914,14.8914,15.2923,3,45.07,-0.4009,0.03,-0.4309,STOP,72.4,3.83,0.0891
2026-03-31,RIVN,EV,2026-03-31 17:00:00+00:00,2026-03-31 19:55:00+00:00,15.0611,15.06,14.9096,15.3641,3,45.18,-0.0033,0.03,-0.0333,EOD,70.1,2.05,0.101
2026-04-02,RIVN,EV,2026-04-02 17:10:00+00:00,2026-04-02 17:50:00+00:00,15.315,15.2299,15.2299,15.4852,3,45.94,-0.2552,0.03,-0.2852,STOP,61.3,1.32,0.0567
2026-04-02,RIVN,EV,2026-04-02 18:40:00+00:00,2026-04-02 19:55:00+00:00,15.356,15.4,15.2876,15.4927,3,46.07,0.132,0.03,0.102,EOD,60.4,1.45,0.0456
2026-04-06,RIVN,EV,2026-04-06 16:35:00+00:00,2026-04-06 17:00:00+00:00,15.345,15.2656,15.2656,15.5038,3,46.04,-0.2383,0.03,-0.2683,STOP,66.7,1.4,0.0529
2026-04-06,RIVN,EV,2026-04-06 19:20:00+00:00,2026-04-06 19:40:00+00:00,15.345,15.2957,15.2957,15.4436,3,46.04,-0.1479,0.03,-0.1779,STOP,55.7,1.35,0.0329
2026-04-07,RIVN,EV,2026-04-07 16:45:00+00:00,2026-04-07 18:45:00+00:00,14.69,14.6094,14.6094,14.8512,3,44.07,-0.2419,0.03,-0.2719,STOP,56.3,1.65,0.0537
2026-04-07,RIVN,EV,2026-04-07 19:45:00+00:00,2026-04-07 19:55:00+00:00,14.685,14.69,14.6023,14.8505,3,44.06,0.015,0.03,-0.015,EOD,57.4,1.9,0.0552
2026-04-08,RIVN,EV,2026-04-08 15:55:00+00:00,2026-04-08 16:45:00+00:00,15.165,15.3475,15.0738,15.3475,3,45.49,0.5475,0.03,0.5175,TARGET,66.0,1.23,0.0608
